"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
155;Dragør;20-39;1479;2022-11-14
157;Gentofte;20-39;8458;2022-11-14
159;Gladsaxe;20-39;12110;2022-11-14
161;Glostrup;20-39;4601;2022-11-14
163;Herlev;20-39;4994;2022-11-14
165;Albertslund;20-39;5107;2022-11-14
167;Hvidovre;20-39;10076;2022-11-14
169;Høje Tåstrup;20-39;10146;2022-11-14
173;Lyngby-Taarbæk;20-39;8384;2022-11-14
175;Rødovre;20-39;7754;2022-11-14
183;Ishøj;20-39;4934;2022-11-14
185;Tårnby;20-39;6691;2022-11-14
187;Vallensbæk;20-39;2933;2022-11-14
190;Furesø;20-39;4953;2022-11-14
201;Allerød;20-39;3043;2022-11-14
210;Fredensborg;20-39;5051;2022-11-14
217;Helsingør;20-39;7788;2022-11-14
219;Hillerød;20-39;8600;2022-11-14
223;Hørsholm;20-39;2285;2022-11-14
230;Rudersdal;20-39;6215;2022-11-14
240;Egedal;20-39;6194;2022-11-14
250;Frederikssund;20-39;5493;2022-11-14
253;Greve;20-39;7454;2022-11-14
259;Køge;20-39;9175;2022-11-14
260;Halsnæs;20-39;3640;2022-11-14
265;Roskilde;20-39;13295;2022-11-14
269;Solrød;20-39;3534;2022-11-14
270;Gribskov;20-39;4194;2022-11-14
306;Odsherred;20-39;3008;2022-11-14
316;Holbæk;20-39;9532;2022-11-14
320;Faxe;20-39;4645;2022-11-14
326;Kalundborg;20-39;5450;2022-11-14
329;Ringsted;20-39;5202;2022-11-14
330;Slagelse;20-39;12465;2022-11-14
336;Stevns;20-39;2603;2022-11-14
340;Sorø;20-39;3526;2022-11-14
350;Lejre;20-39;3330;2022-11-14
360;Lolland;20-39;4295;2022-11-14
370;Næstved;20-39;12016;2022-11-14
376;Guldborgsund;20-39;7762;2022-11-14
390;Vordingborg;20-39;4712;2022-11-14
400;Bornholm;20-39;4169;2022-11-14
410;Middelfart;20-39;4511;2022-11-14
